0,"History of the Church of Jesus Christ of Latter-day Saints, Volume 5","Joseph Smith","B. H. Roberts","November 19, 2019 [EBook #60736]","English","ISO-8859-1"
1,"The Handbook of Soap Manufacture","W. H. Simmons","","June 7, 2007 [EBook #21724]","English","ISO-8859-1"
2,"An Account of Timbuctoo and Housa Territories in the Interior of Africa","Abd Salam Shabeeny","","September 16, 2007 [EBook #22631]","English","UTF-8"
3,"Epicoene","Ben Jonson","","May, 2003  [Etext #4011]","English","ASCII"
4,"De l'Amour","Stendhal","","December 8, 2019 [EBook #60882]","French","ISO-8859-1"
6,"Self-Instructor in the Art of Hair Work","Mark Campbell","","January 24, 2012 [EBook #38658]","English","ASCII"
7,"Recueil des exemples de la malice des femmes, et des malheurs venus à leur occasion","Anonymous","","November 16, 2008 [EBook #27278]","French","ISO-8859-1"
8,"Missionary Travels and Researches in South Africa","David Livingstone","","February 11, 2006 [EBook #1039]","English","ASCII"
9,"The Evolution of Man","Ernst Haeckel","","August 1, 2003 [EBook #8700]","English","UTF-8"
10,"Der Goldene Topf","E. T. A. Hoffmann","","December 20, 2005  [eBook #17362]","German","ISO-8859-1"
11,"Report of the Juvenile Delinquency Committee","Ronald Macmillan Algie","","October 13, 2008 [EBook #26912]","English","ISO-8859-1"
12,"Chaldea","Zénaïde A. Ragozin","","February 20, 2008  [eBook #24654]","English","ISO-8859-1"
13,"The Boy Life of Napoleon","Eugenie Foa","","September 7, 2004 [EBook #9479]","English","ISO-8859-1"
14,"A Treatise on Adulterations of Food, and Culinary Poisons","Fredrick Accum","","August 12, 2006 [EBook #19031]","English","ISO-8859-1"
15,"Additional Records and Extensions of Known Ranges of Mammals from Utah","Stephen D. Durrant","","March 1, 2010 [EBook #31458]","English","ASCII"
16,"The Discovery of the Source of the Nile","John Hanning Speke","","June, 2002","English","ISO-8859-1"
17,"A Child's History of England","Charles Dickens","","May 6, 2007  [eBook #699]","English","ISO-646-US (US-ASCII)"
18,"Murder in the Gunroom","Henry Beam Piper","","February 26, 2006 [EBook #17866]","English","ISO-8859-1"
